source_id,source_branch,snapshot_commit,source_file,source_file_sha256,snapshot_solver_file,snapshot_solver_file_sha256,snapshot_runner_file,snapshot_runner_file_sha256,raw_row_count,included_row_count,excluded_duplicate_row_count,note
uav_benchmark,codex/uav-alns-dispatch,a39f80593aa4,algorithm/results/benchmark_runs.csv,9955a953cbf49ef167dfc6c1d61a2f1d8367b59abde32fe864318a245acbe2cd,algorithm/src/uav_dispatch/alns.py,14562bfed3b5a33315b7d9c6413a1062b8e206c36ba04b405390b73e190f5416,algorithm/experiments/run_benchmarks.py,4a46d6c1eb6e7f089238a61eb7bd9ce062962b8b1cd190cc463df45687bdeb54,41,41,0,Canonical benchmark artifact; inherited copies on later branches are not reread.
core_history,codex/alns-core-comparison,eb8e2d2fff15,algorithm/results/alns_core_comparison/comparison_runs.csv,d2e576702e5bb43436c8c1c4ae7e6dbfbcb085d3dd16296a2e8c396dfbac518f,algorithm/src/uav_dispatch/alns.py,a61961bef78763b88ba6d3c887b98737841ee6f1430bf04820d3f015ad90cc06,algorithm/experiments/run_alns_core_comparison.py,b5d7630373e66b1e5ad0781e5c42decb5de817c0538c6b78f1f99f1450adb51c,16,11,5,Five inherited HALNS fixed-iteration rows are represented by uav_benchmark and excluded here.
stronger_history,codex/stronger-uav-neighborhoods,7c380366f013,algorithm/results/neighborhood_ablation/ablation_runs.csv,75b2d393cbca0de0ae06efbe6cb8aa2726c2101889246f540cf1d510b86f090d,algorithm/src/uav_dispatch/alns.py,d5b89bf0b089be149b331fd02a628eac39f411f42141eecb3f3a4f6e79dba4c2,algorithm/experiments/run_neighborhood_ablation.py,77b9a4cd279f8f6c612a0f5720b9911bc853885f85fcb8cc22ab54de0c7becff,21,21,0,
capacity_history,feature/capacity-aware-halns,42033730ef1a,algorithm/results/capacity_halns/capacity_halns_runs.csv,38ce6cfbc6a62f0ab858f6a1b1b87735dedee31118622523bdd4d6f5a5aad97b,algorithm/src/uav_dispatch/alns.py,5bf0ecdbaafa54f8549ebd42ffad098d187cd8ec8b457771480b7d6a3c62debc,algorithm/experiments/run_capacity_halns_benchmark.py,63d9c6eb0a0e2e9290ea232c75af24e597b834f371828d7e05b71540909f9626,6,6,0,
adaptive_history,feature/adaptive-deadline-rejection-pool,d24a647ffb65,results/adaptive_deadline_rejection/adaptive_runs.csv,4736905c117dcf31fd1bb7d4710c98f12a8e87dd202bb26f555a75a59820ea20,algorithm/src/uav_dispatch/alns.py,0cbd3748dd4ab47470c80792ece3464f22b6e03946cdcaca1a58c1bf0d6fff96,algorithm/experiments/run_adaptive_deadline_rejection.py,531e3919d73ed0a310e201879ee447f9be1047f49b97ad43395a2b6af7ea023c,15,15,0,Final CSV is canonical; the identical partial checkpoint is excluded.
adaptive_smoke_iterations,feature/adaptive-deadline-rejection-pool,d24a647ffb65,results/adaptive_deadline_rejection/smoke_phase5/adaptive_runs.csv,ed0d7662ead72f251e805ccaa3c1150caacf4d6f9260c913ece8b6cb9b99fde1,algorithm/src/uav_dispatch/alns.py,0cbd3748dd4ab47470c80792ece3464f22b6e03946cdcaca1a58c1bf0d6fff96,algorithm/experiments/run_adaptive_deadline_rejection.py,531e3919d73ed0a310e201879ee447f9be1047f49b97ad43395a2b6af7ea023c,5,5,0,Canonical phase-5 file subsumes the identical phase-2/3/4 smoke rows; partial checkpoints are excluded.
adaptive_smoke_wall,feature/adaptive-deadline-rejection-pool,d24a647ffb65,results/adaptive_deadline_rejection/smoke_wall_phase5/adaptive_runs.csv,2a4cbc5d32dd212043a798adc2f77b64af0f3746583c0f3e220f7ca651e1e744,algorithm/src/uav_dispatch/alns.py,0cbd3748dd4ab47470c80792ece3464f22b6e03946cdcaca1a58c1bf0d6fff96,algorithm/experiments/run_adaptive_deadline_rejection.py,531e3919d73ed0a310e201879ee447f9be1047f49b97ad43395a2b6af7ea023c,5,5,0,Final CSV is canonical; the partial checkpoint is excluded.
uav_new,codex/uav-alns-dispatch,a39f80593aa4,algorithm/results/on_time_deferred_comparison/on_time_runs.csv,8169cf7513046505ad253ff1c88327704132805ce8a6754320bbee0719596db2,algorithm/src/uav_dispatch/alns.py,14562bfed3b5a33315b7d9c6413a1062b8e206c36ba04b405390b73e190f5416,algorithm/experiments/run_on_time_deferred_comparison.py,4afcb1a2fe2b864ea81bf725a29cbbe21556949c19a2a6fc1e6dc69d4d4e0600,6,6,0,
core_new,codex/alns-core-comparison,eb8e2d2fff15,algorithm/results/on_time_sacrifice_core/comparison_runs.csv,da8bd77ad3a9ef4d7aa8de6f5ecb461636c4191619e8f538424a6f9ba0232b3b,algorithm/src/uav_dispatch/alns.py,a61961bef78763b88ba6d3c887b98737841ee6f1430bf04820d3f015ad90cc06,algorithm/experiments/run_alns_core_comparison.py,b5d7630373e66b1e5ad0781e5c42decb5de817c0538c6b78f1f99f1450adb51c,3,3,0,
stronger_new,codex/stronger-uav-neighborhoods,7c380366f013,algorithm/results/on_time_sacrifice/ablation_runs.csv,bad68a8dea72a84dd4fec16a76cebdfa84541aca72dba426c8e1089a31772c91,algorithm/src/uav_dispatch/alns.py,d5b89bf0b089be149b331fd02a628eac39f411f42141eecb3f3a4f6e79dba4c2,algorithm/experiments/run_neighborhood_ablation.py,77b9a4cd279f8f6c612a0f5720b9911bc853885f85fcb8cc22ab54de0c7becff,3,3,0,
