source_branch,snapshot_commit,experiment_family,experiment_stage,scenario,method,variant,label,task_count,is_new_experiment,experiment_role,run_count,valid_run_count,on_time_count_mean,on_time_count_min,on_time_count_max,on_time_rate_mean,on_time_rate_min,on_time_rate_max,distance_km_mean,distance_km_min,distance_km_max
codex/uav-alns-dispatch,a39f80593aa4,uav_benchmark,constructive_n200,fleet_n200,Regret-2,Regret-2,Regret-2,200,False,existing,1,1,92.0,92,92,0.46,0.46,0.46,775.7731679286865,775.7731679286865,775.7731679286865
codex/uav-alns-dispatch,a39f80593aa4,uav_benchmark,constructive_n200,fleet_n200,Greedy-full-position,Greedy-full-position,Greedy-full-position,200,False,existing,1,1,89.0,89,89,0.445,0.445,0.445,852.0538225283191,852.0538225283191,852.0538225283191
codex/uav-alns-dispatch,a39f80593aa4,uav_benchmark,constructive_n200,fleet_n200,Nearest-adjacent,Nearest-adjacent,Nearest-adjacent,200,False,existing,1,1,71.0,71,71,0.355,0.355,0.355,943.493381404375,943.493381404375,943.493381404375
codex/uav-alns-dispatch,a39f80593aa4,uav_benchmark,constructive_n200,fleet_n200,EDD-adjacent,EDD-adjacent,EDD-adjacent,200,False,existing,1,1,36.0,36,36,0.18,0.18,0.18,1293.9876678843061,1293.9876678843061,1293.9876678843061
feature/adaptive-deadline-rejection-pool,d24a647ffb65,adaptive_smoke_wall,development_smoke_10s,equal_wall_clock_10s,experiment2,experiment2,A2 + rejection_pool,200,False,existing,1,1,98.0,98,98,0.49,0.49,0.49,753.6969663566831,753.6969663566831,753.6969663566831
feature/adaptive-deadline-rejection-pool,d24a647ffb65,adaptive_smoke_wall,development_smoke_10s,equal_wall_clock_10s,experiment4,experiment4,A2 + late_risk_destroy + rejection_pool + soft_deadline,200,False,existing,1,1,98.0,98,98,0.49,0.49,0.49,779.569131093854,779.569131093854,779.569131093854
feature/adaptive-deadline-rejection-pool,d24a647ffb65,adaptive_smoke_wall,development_smoke_10s,equal_wall_clock_10s,experiment1,experiment1,A2 + late_risk_destroy,200,False,existing,1,1,96.0,96,96,0.48,0.48,0.48,760.73599397894,760.73599397894,760.73599397894
feature/adaptive-deadline-rejection-pool,d24a647ffb65,adaptive_smoke_wall,development_smoke_10s,equal_wall_clock_10s,baseline,baseline,A2,200,False,existing,1,1,96.0,96,96,0.48,0.48,0.48,781.9247490451677,781.9247490451677,781.9247490451677
feature/adaptive-deadline-rejection-pool,d24a647ffb65,adaptive_smoke_wall,development_smoke_10s,equal_wall_clock_10s,experiment3,experiment3,A2 + soft_deadline,200,False,existing,1,1,95.0,95,95,0.475,0.475,0.475,776.4092800544868,776.4092800544868,776.4092800544868
feature/adaptive-deadline-rejection-pool,d24a647ffb65,adaptive_smoke_iterations,development_smoke_5_iterations,equal_iterations,experiment4,experiment4,A2 + late_risk_destroy + rejection_pool + soft_deadline,200,False,existing,1,1,96.0,96,96,0.48,0.48,0.48,766.8504020191708,766.8504020191708,766.8504020191708
feature/adaptive-deadline-rejection-pool,d24a647ffb65,adaptive_smoke_iterations,development_smoke_5_iterations,equal_iterations,experiment2,experiment2,A2 + rejection_pool,200,False,existing,1,1,96.0,96,96,0.48,0.48,0.48,794.1423383460543,794.1423383460543,794.1423383460543
feature/adaptive-deadline-rejection-pool,d24a647ffb65,adaptive_smoke_iterations,development_smoke_5_iterations,equal_iterations,baseline,baseline,A2,200,False,existing,1,1,95.0,95,95,0.475,0.475,0.475,765.3857544430806,765.3857544430806,765.3857544430806
feature/adaptive-deadline-rejection-pool,d24a647ffb65,adaptive_smoke_iterations,development_smoke_5_iterations,equal_iterations,experiment1,experiment1,A2 + late_risk_destroy,200,False,existing,1,1,95.0,95,95,0.475,0.475,0.475,765.3857544430806,765.3857544430806,765.3857544430806
feature/adaptive-deadline-rejection-pool,d24a647ffb65,adaptive_smoke_iterations,development_smoke_5_iterations,equal_iterations,experiment3,experiment3,A2 + soft_deadline,200,False,existing,1,1,95.0,95,95,0.475,0.475,0.475,776.4092800544868,776.4092800544868,776.4092800544868
codex/uav-alns-dispatch,a39f80593aa4,uav_benchmark,fixed_iterations_400,fleet_n200,C2-Lex-HALNS,C2-Lex-HALNS,C2-Lex-HALNS,200,False,existing,5,5,119.4,116,124,0.597,0.58,0.62,714.3381049920283,694.6948209650858,736.7997681994767
codex/uav-alns-dispatch,a39f80593aa4,uav_benchmark,fixed_iterations_400,fleet_n200,C2-Lex-ALNS,C2-Lex-ALNS,C2-Lex-ALNS,200,False,existing,5,5,116.6,111,120,0.583,0.555,0.6,716.3366686726459,687.6287265578436,768.9286361309403
codex/alns-core-comparison,eb8e2d2fff15,core_comparison,fixed_iterations_400,equal_iterations_400,C2-Lex-ALNS-Core,C2-Lex-ALNS-Core,C2-Lex-ALNS-Core,200,False,existing,5,5,116.6,111,120,0.583,0.555,0.6,716.3366686726459,687.6287265578436,768.9286361309403
feature/adaptive-deadline-rejection-pool,d24a647ffb65,adaptive_comparison,formal_240s,equal_wall_clock_240s,experiment1,experiment1,A2 + late_risk_destroy,200,False,existing,3,3,131.33333333333334,130,134,0.6566666666666667,0.65,0.67,645.8538657513064,642.621062098395,650.1774709144454
feature/capacity-aware-halns,42033730ef1a,capacity_comparison,formal_240s,equal_wall_clock_240s,a2,a2,Current best A2 configuration,200,False,existing,3,3,130.66666666666666,129,132,0.6533333333333333,0.645,0.66,640.148746110347,629.8120997108717,650.2510444477645
feature/adaptive-deadline-rejection-pool,d24a647ffb65,adaptive_comparison,formal_240s,equal_wall_clock_240s,baseline,baseline,A2,200,False,existing,3,3,130.33333333333334,130,131,0.6516666666666667,0.65,0.655,645.7470335779643,633.5901042671111,652.0382595087592
codex/stronger-uav-neighborhoods,7c380366f013,neighborhood_ablation,formal_240s,equal_wall_clock_240s,A2 +risk,A2,A2 +risk,200,False,existing,3,3,130.0,129,131,0.65,0.645,0.655,643.9484561941587,634.746382593901,650.2510444477645
codex/stronger-uav-neighborhoods,7c380366f013,neighborhood_ablation,formal_240s,equal_wall_clock_240s,A1 +assignment,A1,A1 +assignment,200,False,existing,3,3,130.0,128,131,0.65,0.64,0.655,649.2405444299544,641.2088156491837,663.4220349932358
codex/alns-core-comparison,eb8e2d2fff15,core_comparison,formal_240s,equal_wall_clock_240s,C2-Lex-ALNS-Core,C2-Lex-ALNS-Core,C2-Lex-ALNS-Core,200,False,existing,3,3,129.66666666666666,128,133,0.6483333333333333,0.64,0.665,646.5605199919357,631.4169426773058,654.5681480713895
codex/stronger-uav-neighborhoods,7c380366f013,neighborhood_ablation,formal_240s,equal_wall_clock_240s,A0 baseline_core,A0,A0 baseline_core,200,False,existing,3,3,129.66666666666666,128,133,0.6483333333333333,0.64,0.665,647.6103867277619,631.0182722496367,657.2447398622596
codex/alns-core-comparison,eb8e2d2fff15,core_comparison,formal_240s,equal_wall_clock_240s,C2-Lex-HALNS,C2-Lex-HALNS,C2-Lex-HALNS,200,False,existing,3,3,129.33333333333334,127,131,0.6466666666666666,0.635,0.655,663.4448145539944,656.3098199079888,667.1195407552736
feature/capacity-aware-halns,42033730ef1a,capacity_comparison,formal_240s,equal_wall_clock_240s,capacity_halns,capacity_halns,Capacity-aware HALNS,200,False,existing,3,3,129.0,128,131,0.645,0.64,0.655,646.8737026348713,639.9101453037558,660.4849808485103
codex/stronger-uav-neighborhoods,7c380366f013,neighborhood_ablation,formal_240s,equal_wall_clock_240s,A5 +ejection,A5,A5 +ejection,200,False,existing,3,3,129.0,128,130,0.645,0.64,0.65,666.2903926652635,648.6276957220533,684.1768119120322
codex/stronger-uav-neighborhoods,7c380366f013,neighborhood_ablation,formal_240s,equal_wall_clock_240s,A3 +VND,A3,A3 +VND,200,False,existing,3,3,128.33333333333334,127,129,0.6416666666666667,0.635,0.645,648.0157858500802,630.9034388976368,656.964601654656
codex/stronger-uav-neighborhoods,7c380366f013,neighborhood_ablation,formal_240s,equal_wall_clock_240s,A4 +cluster,A4,A4 +cluster,200,False,existing,3,3,126.0,124,129,0.63,0.62,0.645,649.8796628273203,644.0857518340965,653.3141707461824
feature/adaptive-deadline-rejection-pool,d24a647ffb65,adaptive_comparison,formal_240s,equal_wall_clock_240s,experiment2,experiment2,A2 + rejection_pool,200,False,existing,3,3,126.0,125,127,0.63,0.625,0.635,669.1562906664104,663.6542197164863,679.2458214380507
feature/adaptive-deadline-rejection-pool,d24a647ffb65,adaptive_comparison,formal_240s,equal_wall_clock_240s,experiment3,experiment3,A2 + soft_deadline,200,False,existing,3,3,125.66666666666667,125,126,0.6283333333333333,0.625,0.63,653.6812962794075,648.9837188234713,657.844966919913
codex/stronger-uav-neighborhoods,7c380366f013,neighborhood_ablation,formal_240s,equal_wall_clock_240s,A6 +route_pool,A6,A6 +route_pool,200,False,existing,3,3,125.0,125,125,0.625,0.625,0.625,683.6476091381861,671.1983026049104,691.1922803741863
feature/adaptive-deadline-rejection-pool,d24a647ffb65,adaptive_comparison,formal_240s,equal_wall_clock_240s,experiment4,experiment4,A2 + late_risk_destroy + rejection_pool + soft_deadline,200,False,existing,3,3,123.66666666666667,123,125,0.6183333333333333,0.615,0.625,679.2019549826982,666.9661871762019,689.406484861429
codex/uav-alns-dispatch,a39f80593aa4,uav_on_time_treatment,new_formal_240s,equal_wall_clock_240s,halns_control,halns_control,C2-Lex-HALNS [halns_control],200,True,control,3,3,128.66666666666666,125,131,0.6433333333333334,0.625,0.655,657.1273008197154,654.1176355802041,662.2196127257963
feature/capacity-aware-halns,42033730ef1a,capacity_on_time_treatment,new_formal_240s,equal_wall_clock_240s,capacity_halns_punctuality,capacity_halns_punctuality,Capacity-aware HALNS punctuality-first sacrifice treatment,200,True,treatment,3,3,128.33333333333334,125,131,0.6416666666666667,0.625,0.655,670.553163221219,659.0597280018568,678.9328715476602
