accepted_solutions,budget_seconds,compliant,distance_km,initial_construction_seconds,iterations,iterations_per_search_second,late_count,matches_previous_core_score,max_lateness_min,max_route_distance_km,method,on_time_rate,route_pool_columns,runtime_seconds,scenario,search_runtime_seconds,seed,solution_file,solution_sha256,source,time_to_best_seconds,total_lateness_min,valid
293,,True,768.9286361309403,3.856732083018869,400,8.166728151692213,89,True,78.45977182527265,106.6793048803797,C2-Lex-ALNS-Core,0.555,0,52.83595516602509,equal_iterations_400,48.97922308300622,2026080500,run_solutions/equal_iterations_400__c2_lex_alns_core__seed_2026080500.json,1435670785e3a07b667645dec126d8230f4970691e9486fca55d271b142b36f1,new_core_run,39.189527000067756,3436.460047216901,True
280,,True,725.9671243091234,,400,,79,,81.61834788706867,104.77651309836176,C2-Lex-HALNS,0.605,1219,60.83557745802682,equal_iterations_400,,2026080500,,,previous_results:46e0f46d71b7,60.83529904100578,3048.228265335854,True
302,,True,727.0157897693191,3.856732083018869,400,8.334590915963336,83,True,81.95108437387995,102.37597593649195,C2-Lex-ALNS-Core,0.585,0,51.84948950004764,equal_iterations_400,47.99275741702877,2026080501,run_solutions/equal_iterations_400__c2_lex_alns_core__seed_2026080501.json,b03105375c05d7a14bae9d2d721c846c1f60ed9b0ca7e908e2776f949c9b4462,new_core_run,50.73728258302435,3272.255567945457,True
328,,True,701.1153513096586,,400,,81,,73.92784372629401,98.01168957043191,C2-Lex-HALNS,0.595,1461,70.20923833205597,equal_iterations_400,,2026080501,,,previous_results:46e0f46d71b7,70.20892816601554,2746.535897755074,True
292,,True,707.1358368906843,3.856732083018869,400,7.632791453489838,82,True,88.89666007621787,102.95699406859605,C2-Lex-ALNS-Core,0.59,0,56.26219899998978,equal_iterations_400,52.40546691697091,2026080502,run_solutions/equal_iterations_400__c2_lex_alns_core__seed_2026080502.json,5cfc949b67d73c05a262e7ecfbd5bf3161ca602fe66e7c5f67d5577fdc0527dc,new_core_run,52.57365766703151,2963.034429090041,True
304,,True,713.1134601767968,,400,,83,,74.88639092663419,100.92095806723947,C2-Lex-HALNS,0.585,1338,66.59895579103613,equal_iterations_400,,2026080502,,,previous_results:46e0f46d71b7,43.006504041026346,2973.3687491005408,True
284,,True,690.9743540144424,3.856732083018869,400,7.7695981858616605,80,True,81.94113551181943,99.39702196063746,C2-Lex-ALNS-Core,0.6,0,55.33944591600448,equal_iterations_400,51.48271383298561,2026080503,run_solutions/equal_iterations_400__c2_lex_alns_core__seed_2026080503.json,176f3ce922af0a0e43fa2f120960b308c494ba018c557b038997dfbd31c09133,new_core_run,49.1116343740141,2794.047000576955,True
299,,True,736.7997681994767,,400,,84,,72.30011837042521,98.90926518888072,C2-Lex-HALNS,0.58,1344,63.34241387504153,equal_iterations_400,,2026080503,,,previous_results:46e0f46d71b7,60.26677920803195,3224.856965350853,True
290,,True,687.6287265578436,3.856732083018869,400,7.668718731924733,83,True,68.55070609417282,94.31611802726933,C2-Lex-ALNS-Core,0.585,0,56.01668395800516,equal_iterations_400,52.15995187498629,2026080504,run_solutions/equal_iterations_400__c2_lex_alns_core__seed_2026080504.json,980fb4b4868e1eaf482ce9a0fa129efe64df7d569d725c68fd2d3863aeb39806,new_core_run,54.09779387403978,2815.5330171976543,True
290,,True,694.6948209650858,,400,,76,,85.2501576462573,105.15962477913759,C2-Lex-HALNS,0.62,1234,66.35914083302487,equal_iterations_400,,2026080504,,,previous_results:46e0f46d71b7,66.35894579102751,2860.032371492552,True
