accepted_solutions,budget_seconds,compliant,distance_km,initial_construction_seconds,iterations,iterations_per_search_second,late_count,matches_previous_core_score,max_lateness_min,max_route_distance_km,method,on_time_rate,route_pool_columns,runtime_seconds,scenario,search_runtime_seconds,seed,solution_file,solution_sha256,source,time_to_best_seconds,total_lateness_min,valid
293,,True,768.9286361309403,12.84714540001005,400,2.9146330892089947,89,True,78.45977182527265,106.6793048803797,C2-Lex-ALNS-Core,0.555,0,150.0856889000279,equal_iterations_400,137.23854350001784,2026080500,run_solutions\equal_iterations_400__c2_lex_alns_core__seed_2026080500.json,943b4d5c6ed383373827e1f2ee42eb68c29d7e29dc926f3305d8571098d3782c,new_core_run,113.64628150005592,3436.460047216901,True
280,,True,725.9671243091234,,400,,79,,81.61834788706867,104.77651309836176,C2-Lex-HALNS,0.605,1219,60.83557745802682,equal_iterations_400,,2026080500,,,previous_results:46e0f46d71b7,60.83529904100578,3048.228265335854,True
302,,True,727.0157897693191,12.84714540001005,400,2.99062723518105,83,True,81.95108437387995,102.37597593649195,C2-Lex-ALNS-Core,0.585,0,146.59835159999784,equal_iterations_400,133.7512061999878,2026080501,run_solutions\equal_iterations_400__c2_lex_alns_core__seed_2026080501.json,270a43bdc20fb449c8ff52be5261b0c016d834ef47b9b7c48c9e0b3ce55a546e,new_core_run,143.4939356999821,3272.255567945457,True
328,,True,701.1153513096586,,400,,81,,73.92784372629401,98.01168957043191,C2-Lex-HALNS,0.595,1461,70.20923833205597,equal_iterations_400,,2026080501,,,previous_results:46e0f46d71b7,70.20892816601554,2746.535897755074,True
292,,True,707.1358368906843,12.84714540001005,400,2.850817050902682,82,True,88.89666007621787,102.95699406859605,C2-Lex-ALNS-Core,0.59,0,153.1577976999688,equal_iterations_400,140.31065229995875,2026080502,run_solutions\equal_iterations_400__c2_lex_alns_core__seed_2026080502.json,3e57c773d45f623c35e94356465153cba7ba64600fae74323ce98280f7c7fbe5,new_core_run,142.79249039996648,2963.034429090041,True
304,,True,713.1134601767968,,400,,83,,74.88639092663419,100.92095806723947,C2-Lex-HALNS,0.585,1338,66.59895579103613,equal_iterations_400,,2026080502,,,previous_results:46e0f46d71b7,43.006504041026346,2973.3687491005408,True
284,,True,690.9743540144424,12.84714540001005,400,2.8792341327029987,80,True,81.94113551181943,99.39702196063746,C2-Lex-ALNS-Core,0.6,0,151.7729783000541,equal_iterations_400,138.92583290004404,2026080503,run_solutions\equal_iterations_400__c2_lex_alns_core__seed_2026080503.json,480e465a24cde119de7bd1a571ad91259a92f098f26f6e3d021db3d132af3f84,new_core_run,135.95471430005273,2794.047000576955,True
299,,True,736.7997681994767,,400,,84,,72.30011837042521,98.90926518888072,C2-Lex-HALNS,0.58,1344,63.34241387504153,equal_iterations_400,,2026080503,,,previous_results:46e0f46d71b7,60.26677920803195,3224.856965350853,True
290,,True,687.6287265578436,12.84714540001005,400,2.946286709564774,83,True,68.55070609417282,94.31611802726933,C2-Lex-ALNS-Core,0.585,0,148.61125780001748,equal_iterations_400,135.76411240000743,2026080504,run_solutions\equal_iterations_400__c2_lex_alns_core__seed_2026080504.json,f0a4db8742009016b448f32153056cbb2dbf15114b04c5fc00aeba5fc61e8b73,new_core_run,143.61543760000495,2815.5330171976543,True
290,,True,694.6948209650858,,400,,76,,85.2501576462573,105.15962477913759,C2-Lex-HALNS,0.62,1234,66.35914083302487,equal_iterations_400,,2026080504,,,previous_results:46e0f46d71b7,66.35894579102751,2860.032371492552,True
403,240.0,True,711.1951601919811,12.514053599967156,652,2.8915068665975308,78,,75.4257869622983,104.78320826606846,C2-Lex-ALNS-Core,0.61,0,238.00201889994787,equal_wall_clock_240s,225.48796529998071,2026080500,run_solutions\equal_wall_clock_240s__c2_lex_alns_core__seed_2026080500.json,889f086bf13ecc589a53b0ddee803e83d693cd18a6e9b36666cbf40d1072fd5a,new_paired_wall_clock_run,237.0114082999644,2958.372991776802,True
340,240.0,True,685.7469409043664,12.514053599967156,538,2.3859396367881778,77,,84.03870917121819,99.93483825409635,C2-Lex-HALNS,0.615,1458,238.00173639995046,equal_wall_clock_240s,225.4876827999833,2026080500,run_solutions\equal_wall_clock_240s__c2_lex_halns__seed_2026080500.json,80af864252b9caeabc181896df1afc3feb602b1b5f3f6f3039f296ab90752fc0,new_paired_wall_clock_run,232.68193699995754,2786.3420629815255,True
