accepted_solutions,budget_seconds,compliant,distance_km,enable_assignment_destroy,enable_cluster_repair,enable_deadline_risk,enable_ejection,enable_route_pool,enable_vnd,initial_construction_seconds,iterations,iterations_per_search_second,late_count,max_lateness_min,max_route_distance_km,method,on_time_rate,route_pool_columns,run_order,runtime_seconds,scenario,search_runtime_seconds,seed,solution_file,solution_sha256,time_to_best_seconds,total_lateness_min,valid,variant,variant_name,vnd_calls,vnd_improved_iterations
790,240.0,True,654.5681480713895,False,False,False,False,False,False,4.083708917023614,1847,7.8959640530297275,72,65.9209819685105,89.93849439632889,A0 baseline_core,0.64,0,1,238.00068062503124,equal_wall_clock_240s,233.91697170800762,2026080500,run_solutions/equal_wall_clock_240s__a0__seed_2026080500.json,908653bcc9999860bffe307b76e656aa5028f4d72ce2a10d6be1157491531834,230.8936252090498,2447.38266026752,True,A0,baseline_core,0,0
796,240.0,True,643.0907826474439,True,False,False,False,False,False,4.083708917023614,1814,7.754879314386097,69,66.37567631259108,85.68092605280556,A1 +assignment,0.655,0,2,238.0009533330449,equal_wall_clock_240s,233.91724441602128,2026080500,run_solutions/equal_wall_clock_240s__a1__seed_2026080500.json,c2af1566825b3ad4c72c912653b109da789e80a9d11784d3fb728a66157b4600,237.64626079204027,2240.6013217735435,True,A1,assignment,0,0
770,240.0,True,650.2510444477645,True,False,True,False,False,False,4.083708917023614,1731,7.400055840054412,71,74.35568533642576,91.2201168027832,A2 +risk,0.645,0,3,238.00086270802421,equal_wall_clock_240s,233.9171537910006,2026080500,run_solutions/equal_wall_clock_240s__a2__seed_2026080500.json,cd29353aa8787cd094267e4b88ace3e9229fcbec53cd6602b9e028b320b2c5ab,236.42152387503302,2413.8830756410025,True,A2,risk,0,0
660,240.0,True,656.1793169979478,True,False,True,False,False,True,4.083708917023614,1266,5.412178303104297,73,76.74854819765557,95.26369337789004,A3 +VND,0.635,0,4,238.00061429204652,equal_wall_clock_240s,233.9169053750229,2026080500,run_solutions/equal_wall_clock_240s__a3__seed_2026080500.json,e48e6ca8885a522529132a56db630cd6231fa8216ec27638e9831de84afd3446,233.691088667023,2540.6309804542107,True,A3,vnd,1266,926
560,240.0,True,644.0857518340965,True,True,True,False,False,True,4.083708917023614,1150,4.916281288959635,76,74.359988403576,90.5939895632184,A4 +cluster,0.62,0,5,238.00034883397166,equal_wall_clock_240s,233.91663991694804,2026080500,run_solutions/equal_wall_clock_240s__a4__seed_2026080500.json,5a6730ac3d9859d7555eca2e508f34a487ac87d71fdb2bbe291c49ccaba95311,222.73096537496895,2485.5808955726925,True,A4,cluster,1150,901
598,240.0,True,648.6276957220533,True,True,True,True,False,True,4.083708917023614,1174,5.0188790489898665,70,64.61450638762288,86.32305574886057,A5 +ejection,0.65,0,6,238.0004836670123,equal_wall_clock_240s,233.9167747499887,2026080500,run_solutions/equal_wall_clock_240s__a5__seed_2026080500.json,faa9b0a76f226792cd3e9bb5272522cf0d8cd9a19f5867d55acbfe3c321db381,230.02651454199804,2142.761391549085,True,A5,ejection,1174,886
476,240.0,True,688.5522444354616,True,True,True,True,True,True,4.083708917023614,791,3.381538229550418,75,72.39340485592527,92.8740643703327,A6 +route_pool,0.625,2127,7,238.00092241697712,equal_wall_clock_240s,233.9172134999535,2026080500,run_solutions/equal_wall_clock_240s__a6__seed_2026080500.json,b30f20879f16e0366f24d43d25c4b3b57171e68253226aa6cabb9d13ff5407a5,236.14681070897495,2754.1167921955944,True,A6,route_pool,791,655
729,240.0,True,663.4220349932358,True,False,False,False,False,False,4.083708917023614,1611,6.887048608555283,72,62.27679170113198,88.35911253101878,A1 +assignment,0.64,0,1,238.00103570905048,equal_wall_clock_240s,233.91732679202687,2026080501,run_solutions/equal_wall_clock_240s__a1__seed_2026080501.json,55dd98e8f793516ea2fb61626e03247b9b7a197492a0874addd35d613ced3ddd,237.55496166704688,2472.4501275299654,True,A1,assignment,0,0
758,240.0,True,634.746382593901,True,False,True,False,False,False,4.083708917023614,1727,7.382942867702748,69,60.301270929492645,85.03170767334387,A2 +risk,0.655,0,2,238.00127145904116,equal_wall_clock_240s,233.91756254201755,2026080501,run_solutions/equal_wall_clock_240s__a2__seed_2026080501.json,91b0e34e61434cde819cf17dedb5236bf8cdc8b575d155f95f27fdffd5fa9d3e,222.42019108403474,2260.8308586852645,True,A2,risk,0,0
723,240.0,True,630.9034388976368,True,False,True,False,False,True,4.083708917023614,1348,5.762733296876493,71,61.58067121199274,84.04260409079338,A3 +VND,0.645,0,3,238.0004860010231,equal_wall_clock_240s,233.91677708399948,2026080501,run_solutions/equal_wall_clock_240s__a3__seed_2026080501.json,09093bb1b560a774af94fbe4e56d849be24aca20ca181c2c45706e23cf8bf16d,235.35868579207454,2223.170978984933,True,A3,vnd,1348,893
