comparison_id,comparison_type,distance_delta_right_minus_left,iterations_per_search_second_delta_right_minus_left,late_count_delta_right_minus_left,left_score,left_variant,right_score,right_variant,runtime_delta_right_minus_left,scenario,seed,time_to_best_delta_right_minus_left,total_lateness_delta_right_minus_left,winner
A0_vs_A1,adjacent,-11.477365423945571,-0.1410847386436309,-3,"[72, 2447.38266026752, 654.5681480713895]",A0,"[69, 2240.6013217735435, 643.0907826474439]",A1,0.0002727080136537552,equal_wall_clock_240s,2026080500,6.752635582990479,-206.78133849397636,A1
A0_vs_A1,adjacent,6.1772951309761766,0.09411480788985127,0,"[72, 2396.575218367709, 657.2447398622596]",A0,"[72, 2472.4501275299654, 663.4220349932358]",A1,-0.002220582973677665,equal_wall_clock_240s,2026080501,1.3203625419992022,75.87490916225624,A0
A0_vs_A1,adjacent,10.190543399547096,0.1838301968050411,2,"[67, 2172.800485899344, 631.0182722496367]",A0,"[69, 2298.485290371571, 641.2088156491837]",A1,-0.00014333199942484498,equal_wall_clock_240s,2026080502,-0.31687095802044496,125.68480447222692,A0
A1_vs_A2,adjacent,7.160261800320541,-0.3548234743316847,2,"[69, 2240.6013217735435, 643.0907826474439]",A1,"[71, 2413.8830756410025, 650.2510444477645]",A2,-9.062502067536116e-05,equal_wall_clock_240s,2026080500,-1.2247369170072488,173.28175386745897,A1
A1_vs_A2,adjacent,-28.67565239933481,0.4958942591474651,-3,"[72, 2472.4501275299654, 663.4220349932358]",A1,"[69, 2260.8308586852645, 634.746382593901]",A2,0.00023574999067932367,equal_wall_clock_240s,2026080501,-15.134770583012141,-211.61926884470085,A2
A1_vs_A2,adjacent,5.639125891626918,-0.5472052531320282,1,"[69, 2298.485290371571, 641.2088156491837]",A1,"[70, 2289.6289608342945, 646.8479415408107]",A2,8.274998981505632e-05,equal_wall_clock_240s,2026080502,-5.018713042081799,-8.856329537276451,A1
A2_vs_A3,adjacent,5.928272550183351,-1.9878775369501147,2,"[71, 2413.8830756410025, 650.2510444477645]",A2,"[73, 2540.6309804542107, 656.1793169979478]",A3,-0.0002484159776940942,equal_wall_clock_240s,2026080500,-2.7304352080100216,126.74790481320815,A2
A2_vs_A3,adjacent,-3.8429436962642285,-1.6202095708262547,2,"[69, 2260.8308586852645, 634.746382593901]",A2,"[71, 2223.170978984933, 630.9034388976368]",A3,-0.0007854580180719495,equal_wall_clock_240s,2026080501,12.938494708039798,-37.65987970033166,A2
A2_vs_A3,adjacent,10.116660113845342,-1.517633029546734,1,"[70, 2289.6289608342945, 646.8479415408107]",A2,"[71, 2483.7480459980366, 656.964601654656]",A3,1.749902730807662e-05,equal_wall_clock_240s,2026080502,3.4659459580434486,194.11908516374206,A2
A3_vs_A4,adjacent,-12.09356516385128,-0.4958970141446626,3,"[73, 2540.6309804542107, 656.1793169979478]",A3,"[76, 2485.5808955726925, 644.0857518340965]",A4,-0.0002654580748640001,equal_wall_clock_240s,2026080500,-10.96012329205405,-55.05008488151816,A3
A3_vs_A4,adjacent,22.41073184854565,-1.2441182009753584,0,"[71, 2223.170978984933, 630.9034388976368]",A3,"[71, 2463.514189339844, 653.3141707461824]",A4,0.004452665976714343,equal_wall_clock_240s,2026080501,1.8540529579040594,240.3432103549112,A3
A3_vs_A4,adjacent,-4.72553575297411,-0.517278206352521,4,"[71, 2483.7480459980366, 656.964601654656]",A3,"[75, 2496.7865568052357, 652.2390659016819]",A4,3.329198807477951e-05,equal_wall_clock_240s,2026080502,1.7391194170340896,13.038510807199145,A3
A4_vs_A5,adjacent,4.541943887956791,0.10259776003023191,-6,"[76, 2485.5808955726925, 644.0857518340965]",A4,"[70, 2142.761391549085, 648.6276957220533]",A5,0.0001348330406472087,equal_wall_clock_240s,2026080500,7.295549167029094,-342.81950402360735,A5
A4_vs_A5,adjacent,30.862641165849823,-0.7994142893874829,1,"[71, 2463.514189339844, 653.3141707461824]",A4,"[72, 2593.402079000198, 684.1768119120322]",A5,-7.08398874849081e-06,equal_wall_clock_240s,2026080501,0.6205012919963337,129.88788966035372,A4
A4_vs_A5,adjacent,13.82760446002328,-0.20947232298858864,-4,"[75, 2496.7865568052357, 652.2390659016819]",A4,"[71, 2407.345071876965, 666.0666703617052]",A5,-0.00020283303456380963,equal_wall_clock_240s,2026080502,1.5281315419706516,-89.44148492827071,A5
A5_vs_A6,adjacent,39.924548713408285,-1.6373408194394483,5,"[70, 2142.761391549085, 648.6276957220533]",A5,"[75, 2754.1167921955944, 688.5522444354616]",A6,0.00043874996481463313,equal_wall_clock_240s,2026080500,6.120296166976914,611.3554006465092,A5
A5_vs_A6,adjacent,-12.97850930712184,-0.726685620298825,3,"[72, 2593.402079000198, 684.1768119120322]",A5,"[75, 2616.5877329981085, 671.1983026049104]",A6,-0.004281083005480468,equal_wall_clock_240s,2026080501,-6.289281666977331,23.185653997910777,A5
A5_vs_A6,adjacent,25.12561001248116,-1.3509108225375344,4,"[71, 2407.345071876965, 666.0666703617052]",A5,"[75, 2656.5018970646042, 691.1922803741863]",A6,0.00025212502805516124,equal_wall_clock_240s,2026080502,0.3724930000025779,249.15682518763924,A5
A0_vs_A4,A0_vs_A4,-10.48239623729296,-2.979682764070093,4,"[72, 2447.38266026752, 654.5681480713895]",A0,"[76, 2485.5808955726925, 644.0857518340965]",A4,-0.00033179105957970023,equal_wall_clock_240s,2026080500,-8.162659834080841,38.1982353051726,A0
A0_vs_A4,A0_vs_A4,-3.9305691160772085,-2.2743187047642968,-1,"[72, 2396.575218367709, 657.2447398622596]",A0,"[71, 2463.514189339844, 653.3141707461824]",A4,0.001682374975644052,equal_wall_clock_240s,2026080501,0.9781396249309182,66.93897097213494,A4
A0_vs_A4,A0_vs_A4,21.220793652045245,-2.398286292226242,8,"[67, 2172.800485899344, 631.0182722496367]",A0,"[75, 2496.7865568052357, 652.2390659016819]",A4,-9.790994226932526e-06,equal_wall_clock_240s,2026080502,-0.13051862502470613,323.98607090589167,A0
