task_i,task_j,S_ij_km
1,2,0.02204
1,3,-0.412959
1,4,-2.081358
1,5,-1.210132
1,6,1.346623
1,7,4.868956
1,8,4.336136
1,9,-0.250035
1,10,0.369039
1,11,-1.689636
1,12,-1.668514
1,13,-1.901181
1,14,-4.901179
1,15,4.842035
1,16,3.068724
1,17,1.755726
1,18,1.076662
1,19,-0.073001
1,20,-1.20713
1,21,-2.350001
1,22,-2.065226
1,23,1.520278
1,24,5.229844
1,25,1.941629
1,26,-0.109413
1,27,-2.343832
1,28,-1.238824
1,29,-0.757939
1,30,-2.619488
1,31,2.734722
1,32,-0.898022
1,33,-0.493462
1,34,-0.116704
1,35,-3.860838
1,36,1.701685
1,37,1.997265
1,38,0.831455
1,39,0.222139
1,40,1.00572
1,41,4.941038
1,42,-4.91937
1,43,-0.020044
1,44,0.436569
1,45,2.602897
1,46,-0.039605
1,47,0.724378
1,48,3.555503
1,49,-0.832699
1,50,1.300892
1,51,-1.515677
1,52,0.103685
1,53,1.899973
1,54,0.460248
1,55,-0.701406
1,56,0.018134
1,57,-0.631921
1,58,-2.477362
1,59,-1.978305
1,60,1.454665
1,61,-0.256707
1,62,5.533363
1,63,3.726915
1,64,0.486274
1,65,0.030258
1,66,0.421293
1,67,-0.623474
1,68,-0.347752
1,69,-0.020759
1,70,2.404498
1,71,0.211565
1,72,4.386967
1,73,-0.968038
1,74,0.018213
1,75,-0.545531
1,76,-0.408781
1,77,1.100678
1,78,4.737834
1,79,5.075757
1,80,3.366573
1,81,0.229097
1,82,6.258729
1,83,0.043374
1,84,1.412307
1,85,3.66637
1,86,-1.248346
1,87,-1.256249
1,88,0.765877
1,89,-1.066301
1,90,0.070231
1,91,6.079881
1,92,-6.87303
1,93,-0.038696
1,94,-2.477214
1,95,-3.916833
1,96,5.127991
1,97,1.513564
1,98,6.490408
1,99,-0.536087
1,100,2.119676
1,101,5.304436
1,102,0.45951
1,103,1.89877
1,104,2.231765
1,105,1.633672
1,106,-2.183295
1,107,-1.151427
1,108,3.213518
1,109,4.844843
1,110,-0.844627
1,111,0.252889
1,112,1.830064
1,113,-1.74578
1,114,4.953383
1,115,0.603029
1,116,-2.615633
1,117,0.359563
1,118,-6.656498
1,119,-3.004549
1,120,0.091233
1,121,-5.882146
1,122,-0.774918
1,123,-1.369671
1,124,5.19108
1,125,-2.134631
1,126,-2.121352
1,127,1.251424
1,128,-1.057573
1,129,-5.005797
1,130,1.99807
1,131,0.704116
1,132,-0.374517
1,133,0.008922
1,134,-6.372655
1,135,-1.860362
1,136,6.746129
1,137,3.97755
1,138,3.234987
1,139,-2.81808
1,140,-3.620429
1,141,-4.798237
1,142,-3.537952
1,143,1.869479
1,144,-0.791733
1,145,4.900648
1,146,-5.272715
1,147,-0.301211
1,148,-2.465469
1,149,-0.933533
1,150,4.818172
1,151,-0.530934
1,152,4.52206
1,153,0.393299
1,154,0.018629
1,155,-2.266635
1,156,1.044694
1,157,2.112613
1,158,2.484599
1,159,-0.611692
1,160,1.45482
1,161,0.907997
1,162,-0.417875
1,163,5.359357
1,164,-0.406067
1,165,-0.262026
1,166,4.651108
1,167,-3.823773
1,168,0.17413
1,169,-0.517157
1,170,-1.062331
1,171,-1.020184
1,172,-0.556447
1,173,0.488925
1,174,4.306364
1,175,-1.998602
1,176,-1.398831
1,177,-2.213378
1,178,-2.516741
1,179,-0.013159
1,180,-3.045267
1,181,-0.924604
1,182,2.254093
1,183,-2.154663
1,184,1.18569
1,185,0.683638
1,186,-0.039297
1,187,0.143002
1,188,-4.07517
1,189,1.451607
1,190,1.890491
1,191,4.50934
1,192,-1.537435
1,193,-3.181365
1,194,-0.854111
1,195,0.442855
1,196,-2.037921
1,197,-0.803426
1,198,-0.079939
1,199,3.823967
1,200,-2.755892
2,3,2.713012
2,4,-0.076289
2,5,2.946686
2,6,2.229353
2,7,3.111897
2,8,5.384892
2,9,-2.062868
2,10,1.442273
2,11,-2.331932
2,12,7.439889
2,13,0.180286
2,14,-0.329314
2,15,4.851292
2,16,7.966912
2,17,10.278722
2,18,-1.895567
2,19,0.081024
2,20,5.196457
2,21,-0.757682
2,22,1.138355
2,23,0.009404
2,24,3.821522
2,25,9.436977
2,26,4.319846
2,27,2.40722
2,28,0.895838
2,29,4.059453
2,30,3.116191
2,31,6.316428
2,32,2.180954
2,33,0.016272
2,34,8.979469
2,35,1.075653
2,36,-2.708717
2,37,0.108129
2,38,1.980357
2,39,-0.171676
2,40,-1.247061
2,41,3.046953
2,42,0.369564
2,43,3.638179
2,44,-0.172671
2,45,6.760577
2,46,-3.687286
2,47,2.689717
2,48,5.106423
2,49,2.086006
2,50,0.216233
2,51,0.714694
2,52,0.603125
2,53,4.488225
2,54,3.160818
2,55,-2.213354
2,56,-1.077026
2,57,6.833758
