source,source_branch,experiment_family,experiment_stage,scenario,task_count,stop_condition,comparison_group,rank_within_group,method,variant,semantics,run_count,valid_run_count,on_time_count_mean,on_time_count_min,on_time_count_max,on_time_rate_mean,on_time_rate_min,on_time_rate_max,distance_km_mean,distance_km_min,distance_km_max,runtime_seconds_mean,budget_seconds
history,codex/uav-alns-dispatch,uav_benchmark,constructive_n200,fleet_n200,200,constructive-only,constructive_n200 | n=200 | constructive-only,1,Regret-2,Regret-2,no-relay,1,1,92.0,92,92,0.46,0.46,0.46,775.7731679286865,775.7731679286865,775.7731679286865,,
history,codex/uav-alns-dispatch,uav_benchmark,constructive_n200,fleet_n200,200,constructive-only,constructive_n200 | n=200 | constructive-only,2,Greedy-full-position,Greedy-full-position,no-relay,1,1,89.0,89,89,0.445,0.445,0.445,852.0538225283191,852.0538225283191,852.0538225283191,,
history,codex/uav-alns-dispatch,uav_benchmark,constructive_n200,fleet_n200,200,constructive-only,constructive_n200 | n=200 | constructive-only,3,Nearest-adjacent,Nearest-adjacent,no-relay,1,1,71.0,71,71,0.355,0.355,0.355,943.493381404375,943.493381404375,943.493381404375,,
history,codex/uav-alns-dispatch,uav_benchmark,constructive_n200,fleet_n200,200,constructive-only,constructive_n200 | n=200 | constructive-only,4,EDD-adjacent,EDD-adjacent,no-relay,1,1,36.0,36,36,0.18,0.18,0.18,1293.9876678843061,1293.9876678843061,1293.9876678843061,,
history,feature/adaptive-deadline-rejection-pool,adaptive_smoke_wall,development_smoke_10s,equal_wall_clock_10s,200,wall-clock 10 s,development_smoke_10s | n=200 | wall-clock 10 s,1,A2 + rejection_pool,experiment2,no-relay,1,1,98.0,98,98,0.49,0.49,0.49,753.6969663566831,753.6969663566831,753.6969663566831,,10.0
history,feature/adaptive-deadline-rejection-pool,adaptive_smoke_wall,development_smoke_10s,equal_wall_clock_10s,200,wall-clock 10 s,development_smoke_10s | n=200 | wall-clock 10 s,2,A2 + late_risk_destroy + rejection_pool + soft_deadline,experiment4,no-relay,1,1,98.0,98,98,0.49,0.49,0.49,779.569131093854,779.569131093854,779.569131093854,,10.0
history,feature/adaptive-deadline-rejection-pool,adaptive_smoke_wall,development_smoke_10s,equal_wall_clock_10s,200,wall-clock 10 s,development_smoke_10s | n=200 | wall-clock 10 s,3,A2 + late_risk_destroy,experiment1,no-relay,1,1,96.0,96,96,0.48,0.48,0.48,760.73599397894,760.73599397894,760.73599397894,,10.0
history,feature/adaptive-deadline-rejection-pool,adaptive_smoke_wall,development_smoke_10s,equal_wall_clock_10s,200,wall-clock 10 s,development_smoke_10s | n=200 | wall-clock 10 s,4,A2,baseline,no-relay,1,1,96.0,96,96,0.48,0.48,0.48,781.9247490451677,781.9247490451677,781.9247490451677,,10.0
history,feature/adaptive-deadline-rejection-pool,adaptive_smoke_wall,development_smoke_10s,equal_wall_clock_10s,200,wall-clock 10 s,development_smoke_10s | n=200 | wall-clock 10 s,5,A2 + soft_deadline,experiment3,no-relay,1,1,95.0,95,95,0.475,0.475,0.475,776.4092800544868,776.4092800544868,776.4092800544868,,10.0
history,feature/adaptive-deadline-rejection-pool,adaptive_smoke_iterations,development_smoke_5_iterations,equal_iterations,200,fixed 5 iterations,development_smoke_5_iterations | n=200 | fixed 5 iterations,1,A2 + late_risk_destroy + rejection_pool + soft_deadline,experiment4,no-relay,1,1,96.0,96,96,0.48,0.48,0.48,766.8504020191708,766.8504020191708,766.8504020191708,,
history,feature/adaptive-deadline-rejection-pool,adaptive_smoke_iterations,development_smoke_5_iterations,equal_iterations,200,fixed 5 iterations,development_smoke_5_iterations | n=200 | fixed 5 iterations,2,A2 + rejection_pool,experiment2,no-relay,1,1,96.0,96,96,0.48,0.48,0.48,794.1423383460543,794.1423383460543,794.1423383460543,,
history,feature/adaptive-deadline-rejection-pool,adaptive_smoke_iterations,development_smoke_5_iterations,equal_iterations,200,fixed 5 iterations,development_smoke_5_iterations | n=200 | fixed 5 iterations,3,A2,baseline,no-relay,1,1,95.0,95,95,0.475,0.475,0.475,765.3857544430806,765.3857544430806,765.3857544430806,,
history,feature/adaptive-deadline-rejection-pool,adaptive_smoke_iterations,development_smoke_5_iterations,equal_iterations,200,fixed 5 iterations,development_smoke_5_iterations | n=200 | fixed 5 iterations,4,A2 + late_risk_destroy,experiment1,no-relay,1,1,95.0,95,95,0.475,0.475,0.475,765.3857544430806,765.3857544430806,765.3857544430806,,
history,feature/adaptive-deadline-rejection-pool,adaptive_smoke_iterations,development_smoke_5_iterations,equal_iterations,200,fixed 5 iterations,development_smoke_5_iterations | n=200 | fixed 5 iterations,5,A2 + soft_deadline,experiment3,no-relay,1,1,95.0,95,95,0.475,0.475,0.475,776.4092800544868,776.4092800544868,776.4092800544868,,
history,codex/uav-alns-dispatch,uav_benchmark,fixed_iterations_400,fleet_n200,200,fixed 400 iterations,fixed_iterations_400 | n=200 | fixed 400 iterations,1,C2-Lex-HALNS,C2-Lex-HALNS,no-relay,5,5,119.4,116,124,0.597,0.58,0.62,714.3381049920283,694.6948209650858,736.7997681994767,,
history,codex/uav-alns-dispatch,uav_benchmark,fixed_iterations_400,fleet_n200,200,fixed 400 iterations,fixed_iterations_400 | n=200 | fixed 400 iterations,2,C2-Lex-ALNS,C2-Lex-ALNS,no-relay,5,5,116.6,111,120,0.583,0.555,0.6,716.3366686726459,687.6287265578436,768.9286361309403,,
history,codex/alns-core-comparison,core_comparison,fixed_iterations_400,equal_iterations_400,200,fixed 400 iterations,fixed_iterations_400 | n=200 | fixed 400 iterations,3,C2-Lex-ALNS-Core,C2-Lex-ALNS-Core,no-relay,5,5,116.6,111,120,0.583,0.555,0.6,716.3366686726459,687.6287265578436,768.9286361309403,,
history,feature/adaptive-deadline-rejection-pool,adaptive_comparison,formal_240s,equal_wall_clock_240s,200,wall-clock 240 s,formal_240s | n=200 | wall-clock 240 s,1,A2 + late_risk_destroy,experiment1,no-relay,3,3,131.33333333333334,130,134,0.6566666666666667,0.65,0.67,645.8538657513064,642.621062098395,650.1774709144454,,240.0
history,feature/capacity-aware-halns,capacity_comparison,formal_240s,equal_wall_clock_240s,200,wall-clock 240 s,formal_240s | n=200 | wall-clock 240 s,2,Current best A2 configuration,a2,no-relay,3,3,130.66666666666666,129,132,0.6533333333333333,0.645,0.66,640.148746110347,629.8120997108717,650.2510444477645,,240.0
history,feature/adaptive-deadline-rejection-pool,adaptive_comparison,formal_240s,equal_wall_clock_240s,200,wall-clock 240 s,formal_240s | n=200 | wall-clock 240 s,3,A2,baseline,no-relay,3,3,130.33333333333334,130,131,0.6516666666666667,0.65,0.655,645.7470335779643,633.5901042671111,652.0382595087592,,240.0
