source,method,semantics,task_count,run_count,valid_run_count,on_time_count_mean,on_time_count_min,on_time_count_max,on_time_rate_mean,on_time_rate_min,on_time_rate_max,distance_km_mean,distance_km_min,distance_km_max,runtime_seconds_mean,budget_seconds,relay_count_mean
history,A2 + late_risk_destroy,no-relay,200,3,3,131.33333333333334,130,134,0.6566666666666667,0.65,0.67,645.8538657513064,642.621062098395,650.1774709144454,,240.0,0.0
history,Current best A2 configuration,no-relay,200,3,3,130.66666666666666,129,132,0.6533333333333333,0.645,0.66,640.148746110347,629.8120997108717,650.2510444477645,,240.0,0.0
history,A2,no-relay,200,3,3,130.33333333333334,130,131,0.6516666666666667,0.65,0.655,645.7470335779643,633.5901042671111,652.0382595087592,,240.0,0.0
relay,baseline,primary-owner,200,3,3,130.33333333333334,129.0,132.0,0.6516666666666667,0.645,0.66,650.5829587778522,639.4409005910293,658.1579765110746,238.0020113606588,240.0,0.0
history,A2 +risk,no-relay,200,3,3,130.0,129,131,0.65,0.645,0.655,643.9484561941587,634.746382593901,650.2510444477645,,240.0,0.0
history,A1 +assignment,no-relay,200,3,3,130.0,128,131,0.65,0.64,0.655,649.2405444299544,641.2088156491837,663.4220349932358,,240.0,0.0
history,C2-Lex-ALNS-Core,no-relay,200,3,3,129.66666666666666,128,133,0.6483333333333333,0.64,0.665,646.5605199919357,631.4169426773058,654.5681480713895,,240.0,0.0
history,A0 baseline_core,no-relay,200,3,3,129.66666666666666,128,133,0.6483333333333333,0.64,0.665,647.6103867277619,631.0182722496367,657.2447398622596,,240.0,0.0
history,C2-Lex-HALNS,no-relay,200,3,3,129.33333333333334,127,131,0.6466666666666666,0.635,0.655,663.4448145539944,656.3098199079888,667.1195407552736,,240.0,0.0
relay,static-1hub,primary-owner,200,3,3,129.0,127.0,132.0,0.645,0.635,0.66,641.2475093182962,630.4658879424076,652.4289468299937,238.0071964446494,240.0,1.0
history,Capacity-aware HALNS,no-relay,200,3,3,129.0,128,131,0.645,0.64,0.655,646.8737026348713,639.9101453037558,660.4849808485103,,240.0,0.0
history,A5 +ejection,no-relay,200,3,3,129.0,128,130,0.645,0.64,0.65,666.2903926652635,648.6276957220533,684.1768119120322,,240.0,0.0
relay,static-multihub,primary-owner,200,3,3,128.66666666666666,127.0,132.0,0.6433333333333334,0.635,0.66,639.7331888514262,630.3690010638458,647.20639318002,238.0506964860057,240.0,3.0
history,C2-Lex-HALNS [halns_control],no-relay,200,3,3,128.66666666666666,125,131,0.6433333333333334,0.625,0.655,657.1273008197154,654.1176355802041,662.2196127257963,,240.0,0.0
history,A3 +VND,no-relay,200,3,3,128.33333333333334,127,129,0.6416666666666667,0.635,0.645,648.0157858500802,630.9034388976368,656.964601654656,,240.0,0.0
history,Capacity-aware HALNS punctuality-first sacrifice treatment,no-relay,200,3,3,128.33333333333334,125,131,0.6416666666666667,0.625,0.655,670.553163221219,659.0597280018568,678.9328715476602,,240.0,0.0
history,C2-Lex-ALNS-Core [core_treatment],no-relay,200,3,3,128.0,126,131,0.64,0.63,0.655,656.1499325522755,645.0859229285097,674.8010875315333,,240.0,0.0
history,C2-Lex-HALNS [halns_treatment],no-relay,200,3,3,128.0,125,131,0.64,0.625,0.655,665.6658876475559,656.5882326993509,671.4467756240534,,240.0,0.0
history,A2 + late_risk_destroy + deferred sacrifice pool,no-relay,200,3,3,127.0,126,128,0.635,0.63,0.64,667.0079527559011,657.3771747944661,674.0613664614013,,240.0,0.0
history,A4 +cluster,no-relay,200,3,3,126.0,124,129,0.63,0.62,0.645,649.8796628273203,644.0857518340965,653.3141707461824,,240.0,0.0
history,A2 + rejection_pool,no-relay,200,3,3,126.0,125,127,0.63,0.625,0.635,669.1562906664104,663.6542197164863,679.2458214380507,,240.0,0.0
history,A2 + soft_deadline,no-relay,200,3,3,125.66666666666667,125,126,0.6283333333333333,0.625,0.63,653.6812962794075,648.9837188234713,657.844966919913,,240.0,0.0
history,A7 +risk +on-time-distance +deferred,no-relay,200,3,3,125.33333333333333,123,127,0.6266666666666666,0.615,0.635,649.1001705495042,634.991110350223,662.8018843501337,,240.0,0.0
history,A6 +route_pool,no-relay,200,3,3,125.0,125,125,0.625,0.625,0.625,683.6476091381861,671.1983026049104,691.1922803741863,,240.0,0.0
history,A2 + late_risk_destroy + rejection_pool + soft_deadline,no-relay,200,3,3,123.66666666666667,123,125,0.6183333333333333,0.615,0.625,679.2019549826982,666.9661871762019,689.406484861429,,240.0,0.0
