scenario,task_count,hub_count,handoff_service_min,paired_seed_count,valid_pair_count,baseline_on_time_count_mean,relay_on_time_count_mean,delta_on_time_count_mean,baseline_distance_km_mean,relay_distance_km_mean,delta_distance_km_mean,lexicographic_wins,lexicographic_ties,lexicographic_losses,relay_count_mean
G,50,1,0.0,10,10,3.9,3.8,-0.1,1134.0974650344758,1170.5714331366958,36.473968102219736,0,0,10,1.9
G,50,1,0.5,10,10,3.9,3.8,-0.1,1134.0974650344758,1163.4080549339078,29.31058989943183,0,1,9,2.1
G,50,1,1.0,10,10,3.9,3.8,-0.1,1134.0974650344758,1165.5518586676603,31.45439363318444,0,0,10,2.1
G,50,1,2.0,10,10,3.9,3.8,-0.1,1134.0974650344758,1161.965250602981,27.86778556850504,0,0,10,2.4
G,50,2,0.0,10,10,3.9,3.8,-0.1,1134.0974650344758,1172.6335587355275,38.53609370105171,0,0,10,1.8
G,50,2,0.5,10,10,3.9,3.8,-0.1,1134.0974650344758,1166.7171483070472,32.61968327257121,0,1,9,1.6
G,50,2,1.0,10,10,3.9,3.8,-0.1,1134.0974650344758,1169.4575658987392,35.3601008642634,0,1,9,1.6
G,50,2,2.0,10,10,3.9,3.8,-0.1,1134.0974650344758,1167.540389355009,33.44292432053321,0,1,9,1.5
G,50,4,0.0,10,10,3.9,3.8,-0.1,1134.0974650344758,1169.4907683852077,35.393303350731934,0,1,9,1.0
G,50,4,0.5,10,10,3.9,3.8,-0.1,1134.0974650344758,1168.336934616332,34.23946958185602,0,1,9,1.0
G,50,4,1.0,10,10,3.9,3.8,-0.1,1134.0974650344758,1167.4334416714562,33.3359766369804,0,1,9,1.1
G,50,4,2.0,10,10,3.9,3.8,-0.1,1134.0974650344758,1174.1520493974401,40.05458436296433,0,1,9,1.1
G,50,8,0.0,10,10,3.9,3.8,-0.1,1134.0974650344758,1176.6097388540093,42.512273819533426,0,0,10,0.5
G,50,8,0.5,10,10,3.9,3.8,-0.1,1134.0974650344758,1170.208778133818,36.111313099341984,0,0,10,0.5
G,50,8,1.0,10,10,3.9,3.8,-0.1,1134.0974650344758,1171.345294804764,37.247829770288305,0,0,10,0.4
G,50,8,2.0,10,10,3.9,3.8,-0.1,1134.0974650344758,1172.779414814127,38.68194977965106,0,0,10,0.6
MIX,50,1,0.0,10,10,15.0,14.1,-0.9,417.4006245849258,439.4582961965305,22.057671611604654,0,0,10,1.3
MIX,50,1,0.5,10,10,15.0,14.1,-0.9,417.4006245849258,437.09513835090473,19.69451376597895,0,0,10,1.8
MIX,50,1,1.0,10,10,15.0,13.9,-1.1,417.4006245849258,440.8739372089496,23.473312624023787,0,0,10,1.3
MIX,50,1,2.0,10,10,15.0,14.1,-0.9,417.4006245849258,439.6747871040985,22.274162519172688,0,0,10,1.8
MIX,50,2,0.0,10,10,15.0,13.8,-1.2,417.4006245849258,438.0907017097922,20.690077124866395,0,0,10,1.0
MIX,50,2,0.5,10,10,15.0,13.9,-1.1,417.4006245849258,433.5692464507765,16.168621865850735,0,0,10,1.1
MIX,50,2,1.0,10,10,15.0,14.0,-1.0,417.4006245849258,439.12573317377854,21.725108588852788,0,0,10,1.1
MIX,50,2,2.0,10,10,15.0,14.0,-1.0,417.4006245849258,432.2393932685517,14.838768683625926,0,0,10,1.3
MIX,50,4,0.0,10,10,15.0,13.8,-1.2,417.4006245849258,439.7086555048577,22.308030919931923,0,0,10,1.0
MIX,50,4,0.5,10,10,15.0,14.0,-1.0,417.4006245849258,434.09196465595625,16.691340071030414,0,0,10,1.2
MIX,50,4,1.0,10,10,15.0,13.8,-1.2,417.4006245849258,435.42704981829337,18.026425233367554,0,0,10,1.0
MIX,50,4,2.0,10,10,15.0,14.0,-1.0,417.4006245849258,437.1187471371353,19.718122552209486,0,0,10,1.1
MIX,50,8,0.0,10,10,15.0,14.0,-1.0,417.4006245849258,436.0655074931804,18.664882908254565,0,0,10,0.7
MIX,50,8,0.5,10,10,15.0,13.8,-1.2,417.4006245849258,437.7983126044734,20.397688019547587,0,0,10,0.6
MIX,50,8,1.0,10,10,15.0,14.0,-1.0,417.4006245849258,440.289507801246,22.88888321632019,0,0,10,0.7
MIX,50,8,2.0,10,10,15.0,14.1,-0.9,417.4006245849258,437.15523335899223,19.75460877406642,0,0,10,0.8
MZ,50,1,0.0,10,10,6.2,5.9,-0.3,665.3424785169625,700.9936025595499,35.65112404258741,0,0,10,1.1
MZ,50,1,0.5,10,10,6.2,5.9,-0.3,665.3424785169625,698.0120259109245,32.66954739396202,1,0,9,1.4
