scenario,task_count,method,hub_count,handoff_service_min,run_count,valid_run_count,on_time_count_mean,on_time_count_min,on_time_count_max,on_time_rate_mean,distance_km_mean,distance_km_min,distance_km_max,runtime_seconds_mean,relay_count_mean
G,50,baseline,0,0.0,10,10,3.9,3.0,4.0,0.078,1134.0974650344758,1088.7535774883647,1163.4404618527165,0.8007373291125987,0.0
G,50,static-relay,1,0.0,10,10,3.8,3.0,4.0,0.076,1170.5714331366958,1118.3159405413085,1229.3468376010849,0.8011961374897509,1.9
G,50,static-relay,1,0.5,10,10,3.8,3.0,4.0,0.076,1163.4080549339078,1126.0936470889096,1191.1035841790272,0.8014712957956363,2.1
G,50,static-relay,1,1.0,10,10,3.8,3.0,4.0,0.076,1165.5518586676603,1136.507030179162,1191.1035841790272,0.8016974833968561,2.1
G,50,static-relay,1,2.0,10,10,3.8,3.0,4.0,0.076,1161.965250602981,1118.3159405413085,1191.1035841790272,0.8017540209984872,2.4
G,50,static-relay,2,0.0,10,10,3.8,3.0,4.0,0.076,1172.6335587355275,1149.3375673858995,1205.9139073607457,0.8029920250992291,1.8
G,50,static-relay,2,0.5,10,10,3.8,3.0,4.0,0.076,1166.7171483070472,1121.9333914689776,1212.3139496107226,0.803312725003343,1.6
G,50,static-relay,2,1.0,10,10,3.8,3.0,4.0,0.076,1169.4575658987392,1126.0936470889096,1212.3139496107226,0.8027980917890091,1.6
G,50,static-relay,2,2.0,10,10,3.8,3.0,4.0,0.076,1167.540389355009,1121.9333914689776,1205.9139073607457,0.8030949999927544,1.5
G,50,static-relay,4,0.0,10,10,3.8,3.0,4.0,0.076,1169.4907683852077,1126.0936470889096,1198.115182231426,0.8068069502012805,1.0
G,50,static-relay,4,0.5,10,10,3.8,3.0,4.0,0.076,1168.336934616332,1126.0936470889096,1205.9139073607457,0.8062522294057999,1.0
G,50,static-relay,4,1.0,10,10,3.8,3.0,4.0,0.076,1167.4334416714562,1126.0936470889096,1212.3139496107226,0.8046527333033737,1.1
G,50,static-relay,4,2.0,10,10,3.8,3.0,4.0,0.076,1174.1520493974401,1126.0936470889096,1205.9139073607457,0.8063229916908312,1.1
G,50,static-relay,8,0.0,10,10,3.8,3.0,4.0,0.076,1176.6097388540093,1150.992577198302,1217.279074070209,0.8129621499974746,0.5
G,50,static-relay,8,0.5,10,10,3.8,3.0,4.0,0.076,1170.208778133818,1125.2862103952111,1205.9139073607457,0.8101963459979743,0.5
G,50,static-relay,8,1.0,10,10,3.8,3.0,4.0,0.076,1171.345294804764,1125.2862103952111,1217.279074070209,0.8167501208954491,0.4
