instance_id,task_count,instance_seed,solver_seed,drone_count,method_id,method_label,variant_description,initial_routes_sha256,late_count,late_rate,total_lateness_min,lateness_per_task_min,distance_km,distance_per_task_km,construction_seconds,search_seconds,total_runtime_seconds,iterations,valid
virtual_n30_seed2026082601,30,2026082601,,2,nearest_adjacent,最近邻成对贪心,,,7,0.23333333333333334,389.3777039246477,12.979256797488256,381.01804497206973,12.700601499068991,0.0,0.0023012079764157534,0.0023012079764157534,0,True
virtual_n30_seed2026082601,30,2026082601,,2,edd_adjacent,最早截止期成对贪心,,,24,0.8,2059.2350131887797,68.64116710629266,629.5538491241098,20.985128304136992,0.0,0.0004164590500295162,0.0004164590500295162,0,True
virtual_n30_seed2026082601,30,2026082601,,2,greedy_full_position,全位置词典序贪心,,,0,0.0,0.0,0.0,267.6497290443446,8.921657634811487,0.0,0.0017998749390244484,0.0017998749390244484,0,True
virtual_n30_seed2026082601,30,2026082601,2026082601,2,full_alns,完整C2-Lex-ALNS,14个算子、截止期风险引导和自适应权重全部开启,367b50abdd92021c9a54021d30912f50e77e837d1c988f9e20ac1a04d48cacd9,0,0.0,0.0,0.0,255.92388340118228,8.530796113372743,0.010432292008772492,0.45498179201968014,0.46541408402845263,1000,True
virtual_n30_seed2026082601,30,2026082601,2026082601,2,no_time_awareness,去除时间感知,关闭截止期风险引导，并移除deadline_related、late_critical、deadline和slack算子,367b50abdd92021c9a54021d30912f50e77e837d1c988f9e20ac1a04d48cacd9,1,0.03333333333333333,58.17261174316572,1.939087058105524,289.8835059266635,9.662783530888783,0.010432292008772492,0.49770662491209805,0.5081389169208705,1000,True
virtual_n30_seed2026082601,30,2026082601,2026082601,2,no_capacity_conflict,去除容量冲突破坏,移除capacity_conflict破坏算子，其余设置不变,367b50abdd92021c9a54021d30912f50e77e837d1c988f9e20ac1a04d48cacd9,0,0.0,0.0,0.0,254.00377941507622,8.466792647169207,0.010432292008772492,0.40825654193758965,0.41868883394636214,1000,True
virtual_n30_seed2026082601,30,2026082601,2026082601,2,no_assignment_destroy,去除任务重分配破坏,移除assignment_destroy破坏算子，其余设置不变,367b50abdd92021c9a54021d30912f50e77e837d1c988f9e20ac1a04d48cacd9,1,0.03333333333333333,22.204908316043927,0.7401636105347975,278.49929870868397,9.283309956956133,0.010432292008772492,0.422683582874015,0.43311587488278747,1000,True
virtual_n30_seed2026082601,30,2026082601,2026082601,2,uniform_operator_weights,关闭自适应权重,保留14个算子，但整个搜索期间保持均匀选择权重,367b50abdd92021c9a54021d30912f50e77e837d1c988f9e20ac1a04d48cacd9,0,0.0,0.0,0.0,267.2976038898458,8.909920129661526,0.010432292008772492,0.42531624995172024,0.43574854196049273,1000,True
virtual_n30_seed2026082602,30,2026082602,,2,nearest_adjacent,最近邻成对贪心,,,14,0.4666666666666667,1081.2789654334056,36.04263218111352,540.472953082137,18.015765102737898,0.0,0.0022776660043746233,0.0022776660043746233,0,True
virtual_n30_seed2026082602,30,2026082602,,2,edd_adjacent,最早截止期成对贪心,,,24,0.8,2789.9921262021394,92.99973754007131,725.3425829220187,24.178086097400623,0.0,0.00032258289866149426,0.00032258289866149426,0,True
virtual_n30_seed2026082602,30,2026082602,,2,greedy_full_position,全位置词典序贪心,,,11,0.36666666666666664,939.2447364701318,31.308157882337728,472.8387445678738,15.761291485595793,0.0,0.0016926671378314495,0.0016926671378314495,0,True
virtual_n30_seed2026082602,30,2026082602,2026082602,2,full_alns,完整C2-Lex-ALNS,14个算子、截止期风险引导和自适应权重全部开启,915b643a5bc70f36e04b698dd0a31db769d3b687137010b35076e5211e550f45,5,0.16666666666666666,361.7772886177307,12.059242953924356,354.84254167695383,11.828084722565128,0.008297542110085487,0.47232545795850456,0.48062300006859004,1000,True
virtual_n30_seed2026082602,30,2026082602,2026082602,2,no_time_awareness,去除时间感知,关闭截止期风险引导，并移除deadline_related、late_critical、deadline和slack算子,915b643a5bc70f36e04b698dd0a31db769d3b687137010b35076e5211e550f45,5,0.16666666666666666,326.6943918907725,10.88981306302575,347.9846223814449,11.599487412714831,0.008297542110085487,0.5061496670823544,0.5144472091924399,1000,True
virtual_n30_seed2026082602,30,2026082602,2026082602,2,no_capacity_conflict,去除容量冲突破坏,移除capacity_conflict破坏算子，其余设置不变,915b643a5bc70f36e04b698dd0a31db769d3b687137010b35076e5211e550f45,6,0.2,240.9726063930774,8.03242021310258,365.5572593149623,12.185241977165411,0.008297542110085487,0.4744432920124382,0.48274083412252367,1000,True
virtual_n30_seed2026082602,30,2026082602,2026082602,2,no_assignment_destroy,去除任务重分配破坏,移除assignment_destroy破坏算子，其余设置不变,915b643a5bc70f36e04b698dd0a31db769d3b687137010b35076e5211e550f45,6,0.2,415.3480371295922,13.844934570986407,382.21629233932606,12.740543077977536,0.008297542110085487,0.3997524578589946,0.4080499999690801,1000,True
virtual_n30_seed2026082602,30,2026082602,2026082602,2,uniform_operator_weights,关闭自适应权重,保留14个算子，但整个搜索期间保持均匀选择权重,915b643a5bc70f36e04b698dd0a31db769d3b687137010b35076e5211e550f45,5,0.16666666666666666,268.9350435965132,8.964501453217107,339.33536192390005,11.311178730796668,0.008297542110085487,0.471848834073171,0.4801463761832565,1000,True
virtual_n30_seed2026082603,30,2026082603,,2,nearest_adjacent,最近邻成对贪心,,,15,0.5,1783.1483462222513,59.43827820740838,572.2608075095529,19.075360250318433,0.0,0.002327375113964081,0.002327375113964081,0,True
virtual_n30_seed2026082603,30,2026082603,,2,edd_adjacent,最早截止期成对贪心,,,22,0.7333333333333333,2822.3361682567174,94.07787227522391,735.7124045831738,24.523746819439125,0.0,0.0004290419165045023,0.0004290419165045023,0,True
virtual_n30_seed2026082603,30,2026082603,,2,greedy_full_position,全位置词典序贪心,,,10,0.3333333333333333,591.4862257239753,19.71620752413251,400.19450377408685,13.339816792469561,0.0,0.0019377078860998154,0.0019377078860998154,0,True
virtual_n30_seed2026082603,30,2026082603,2026082603,2,full_alns,完整C2-Lex-ALNS,14个算子、截止期风险引导和自适应权重全部开启,86c4792951c1d0c653dd8c84b3aeff190fc094d612d2f242ddb4778a279e6265,6,0.2,351.67588104089293,11.722529368029765,340.83603108354873,11.361201036118292,0.010080832988023758,0.43855670909397304,0.4486375420819968,1000,True
virtual_n30_seed2026082603,30,2026082603,2026082603,2,no_time_awareness,去除时间感知,关闭截止期风险引导，并移除deadline_related、late_critical、deadline和slack算子,86c4792951c1d0c653dd8c84b3aeff190fc094d612d2f242ddb4778a279e6265,6,0.2,453.8793741474524,15.129312471581747,362.25778433546293,12.075259477848764,0.010080832988023758,0.4783061670605093,0.4883870000485331,1000,True
virtual_n30_seed2026082603,30,2026082603,2026082603,2,no_capacity_conflict,去除容量冲突破坏,移除capacity_conflict破坏算子，其余设置不变,86c4792951c1d0c653dd8c84b3aeff190fc094d612d2f242ddb4778a279e6265,5,0.16666666666666666,386.3283995072252,12.877613316907507,364.50312369688913,12.150104123229637,0.010080832988023758,0.4661870407871902,0.47626787377521396,1000,True
virtual_n30_seed2026082603,30,2026082603,2026082603,2,no_assignment_destroy,去除任务重分配破坏,移除assignment_destroy破坏算子，其余设置不变,86c4792951c1d0c653dd8c84b3aeff190fc094d612d2f242ddb4778a279e6265,5,0.16666666666666666,350.2667527469365,11.675558424897883,361.66217318202223,12.055405772734074,0.010080832988023758,0.4114694169256836,0.4215502499137074,1000,True
virtual_n30_seed2026082603,30,2026082603,2026082603,2,uniform_operator_weights,关闭自适应权重,保留14个算子，但整个搜索期间保持均匀选择权重,86c4792951c1d0c653dd8c84b3aeff190fc094d612d2f242ddb4778a279e6265,5,0.16666666666666666,333.3521847518918,11.111739491729727,354.0279737200949,11.800932457336497,0.010080832988023758,0.43584937509149313,0.4459302080795169,1000,True
virtual_n30_seed2026082604,30,2026082604,,2,nearest_adjacent,最近邻成对贪心,,,12,0.4,1347.8724408202056,44.92908136067352,499.4137475737838,16.647124919126124,0.0,0.002333291806280613,0.002333291806280613,0,True
virtual_n30_seed2026082604,30,2026082604,,2,edd_adjacent,最早截止期成对贪心,,,23,0.7666666666666667,2118.850296421584,70.6283432140528,643.7072801190909,21.45690933730303,0.0,0.00032841693609952927,0.00032841693609952927,0,True
virtual_n30_seed2026082604,30,2026082604,,2,greedy_full_position,全位置词典序贪心,,,11,0.36666666666666664,261.70126655787544,8.723375551929182,369.9837728487898,12.332792428292993,0.0,0.0026685830671340227,0.0026685830671340227,0,True
