任务编号,取件点坐标X,取件点坐标Y,送达点坐标X,送达点坐标Y,最晚送达时间Tmax（min）
1,3.62,7.66,6.12,5.19,30
2,2.09,1.41,7.06,5.21,43
3,1.14,7.79,6.83,2.49,34.8
4,2.28,3.13,4.67,4.02,27.9
5,5.28,1.98,3.05,3.56,35
6,6.5,2.4,4.6,5.15,24.8
7,5.25,2.19,1.46,7.64,54.7
8,6.66,3.13,1.68,5.79,39.6
9,1.85,4.47,1.24,7.37,28.4
10,5.64,3.18,4.64,4.83,26.9
11,7.79,6.43,7.58,7.26,42.1
12,7.45,1.62,2.37,1.32,35.9
13,3.72,2.9,6.8,3.5,29.2
14,4.8,1.99,6.62,1.52,49.5
15,6.41,2.39,1.04,6.71,48.5
16,6.1,6.4,1.52,3.51,31.3
17,7.04,5.36,3.32,1.44,37.2
18,3.28,6.11,5.46,7.21,36.6
19,1.84,5.99,6.33,4.93,47.2
20,4.46,4.66,3.99,1.18,26.3
21,1.22,5.45,3.2,4.56,47.9
22,2.75,3.87,6.29,2.6,23.8
23,3.03,2.13,7.51,6.66,42.2
24,7.1,6.63,2.31,7.25,44.3
25,6.65,7.27,3.23,1.77,37
26,3.99,6.73,7.03,1.05,43.2
27,3.92,2.55,1.84,3.36,48
28,3.26,4.63,5.92,3.55,50.6
29,7.74,2.76,4.48,3.11,33.3
30,1.26,5.27,4.52,1.36,32
31,7.36,2.68,2.01,4.43,56.5
32,2.69,5.7,6.33,2.66,46.1
33,3.57,5.43,5.43,4.75,24.1
34,6.85,3.25,2.31,1.29,43.6
35,5.74,1.12,4.58,2.59,39.9
36,2.22,5.84,3.71,7.56,25.6
37,3.39,1.79,7.47,7.14,31.5
38,5.62,6.72,4.89,4.71,31.4
39,1.65,7.28,7.3,5.43,37.1
40,3.44,6.08,7.28,7.21,47.6
41,5.49,1.59,2.13,7.29,43.9
42,1.06,1.71,5.64,1.04,24.2
43,4.84,5.84,5.56,2.57,45.5
44,2.66,3.28,6.23,5.55,46.9
45,5.6,4.98,1.66,3.57,32.9
46,2.71,7.81,3.75,7.24,41.4
47,6.56,4.52,5.04,4.45,28.4
48,6.06,2.97,1.17,5.52,30.9
49,7.58,7.68,7.4,3.59,29
50,7.5,4,7.77,7.75,51.2
51,3.06,3.7,6.96,3.22,26.8
52,4.9,7.55,5.87,4.99,28
53,5.31,7.93,1.98,4.63,54.1
54,6.19,5.88,5.92,3.52,32.9
55,6.67,6.67,7.07,7.39,38.7
56,4.51,6.59,5.55,5.91,46.1
57,7.23,3.37,3.63,1.66,42.6
58,1.25,4.26,4.8,3.01,38.8
59,1.21,1.26,6.76,3.52,24.4
60,4.66,6.39,2.51,5.36,26
61,1.36,4.72,4.78,5.46,43.1
62,7.83,4.61,3.26,6.57,35.7
63,4.07,1.55,1.18,7.74,49.5
64,5.87,3.86,2.21,2.1,31.8
65,4.84,6,5.62,2.96,52.7
66,6.17,4.88,5.28,3.94,29.6
67,3.49,6.3,1.1,1.81,27
68,1.29,6.99,5.93,4.32,28.8
69,4.44,4.31,2.21,4.04,33.3
70,5.31,5.45,1.32,3.62,44.1
71,4.52,7,5.61,2.14,28.9
72,5.5,1.19,5.1,7.58,42.6
73,3.72,5.5,4.21,4.82,48.6
74,3.7,7.73,7.34,2.37,30.8
75,1.71,1.13,1.66,5.78,21.6
76,3.23,6.91,1.16,6.7,31.2
77,1.83,5.88,5.4,7.14,45.1
78,6.62,2.97,2.24,6.25,50.4
79,7.93,3.89,3.6,6.43,37.6
80,7.52,7.01,4,6.26,50
81,1.72,7.32,4.54,6.79,33.1
82,7.27,3.72,1.08,7.34,31.8
83,3.24,7.65,7.65,5.01,45.9
84,4.14,3.05,3.3,5.71,43.4
85,6.54,6.53,1.64,4.46,29.9
86,4.85,4.09,7.21,3.46,25.3
87,2,6.33,5.33,1.71,28.2
88,5.91,1.51,6.75,5.94,26.2
89,1.59,7.91,3.62,3.59,50.6
90,7.63,7.9,6.27,3.63,31.7
91,6.44,4.91,3.97,7.34,28.2
92,4.45,1.08,4.28,1.39,21
93,1.82,5.54,6.22,5.08,52.3
94,3.62,3,7.08,2.57,50
95,1.09,7.79,1.3,7.24,37.2
96,7.95,1.52,4.88,7.79,44.4
97,5.41,5.87,4.18,5.39,39.9
98,7.31,1.32,2.97,7.65,55.5
99,4.19,5.34,2.94,2.32,37.1
100,3.47,5.09,1.54,7.82,52.1
101,5.89,4.75,3.17,6.7,44.7
102,2.14,7.38,6.76,7.65,47.4
103,5.29,3.93,7.53,7.06,25
104,1.18,3.64,6.67,7.91,28.5
105,5.16,3.67,7.79,6.89,48.8
106,4.28,3.9,2.91,1.39,47.6
107,6.69,8,7.98,4.89,50.4
108,7.61,6.95,2.73,4.15,33.6
109,7.68,5.24,2.6,5.7,46.5
110,3.51,1.79,5.7,4.64,43.5
111,4.64,6.97,4.86,4.93,49.9
112,3.82,1.94,1.2,6.29,41
113,5.93,2.49,1.95,1.1,34.3
114,5.13,3.75,4.06,7.33,33.7
