scenario,method,label,seed,run_order,valid,compliant,budget_seconds,effective_search_time_limit_seconds,late_count,total_lateness_min,distance_km,runtime_seconds,search_runtime_seconds,initial_construction_seconds,iterations,enable_late_risk_destroy,enable_rejection_pool,rejection_attempts,rejection_events,reinserted_task_count,peak_rejected_count,final_rejected_count,enable_soft_deadline,soft_deadline_beta,internal_search_score_enabled,risk_aware_insertion_enabled,risk_aware_lateness_lambda,solution_file,solution_sha256,routes_sha256
equal_wall_clock_240s,baseline,A2,2026080500,1,True,True,240.0,233.30998187500518,70,2424.643135104305,651.6127369580224,238.0010094579775,233.31099133298267,4.690018124994822,1911,False,False,0,0,0,0,0,False,0.2,False,False,1.0,run_solutions/equal_wall_clock_240s__baseline__seed_2026080500.json,413fbac6c2cc485c6e1eec265dc81d990f0ac101ab259a2ec125cf7e750094d4,a27e330849cc47166e26458290ce2b3d5f35e0b4e09c49ac9e03474030c6cc10
equal_wall_clock_240s,experiment1,A2 + late_risk_destroy,2026080500,2,True,True,240.0,233.30998187500518,70,2356.014779976059,644.7630642410791,238.0216398340417,233.33162170904689,4.690018124994822,1993,True,False,0,0,0,0,0,False,0.2,False,False,1.0,run_solutions/equal_wall_clock_240s__experiment1__seed_2026080500.json,5d5c5e091c9bb0ecb2ce11f9397a340ac0b8bda647fcce167b9d322cfc673428,1da0f87bdecf8fdd5abc9370e50160ea0cc73f9dc863296e5e3f57379119d0ec
equal_wall_clock_240s,experiment2,A2 + rejection_pool,2026080500,3,True,True,240.0,233.30998187500518,75,2525.896550529047,663.6542197164863,238.00092916598078,233.31091104098596,4.690018124994822,1851,False,True,25828,25828,25812,20,0,False,0.2,False,False,1.0,run_solutions/equal_wall_clock_240s__experiment2__seed_2026080500.json,63283602122bf2e9c84ec20aa0188907673254323b169aa364be890d6188337b,776291dc6af1afba87fa8bc7157ac01ea0956584830da1d8a946848bc94eba3b
equal_wall_clock_240s,experiment3,A2 + soft_deadline,2026080500,4,True,True,240.0,233.30998187500518,74,2366.7748360314536,648.9837188234713,238.00116420799168,233.31114608299686,4.690018124994822,1290,False,False,0,0,0,0,0,True,0.2,True,True,1.0,run_solutions/equal_wall_clock_240s__experiment3__seed_2026080500.json,03722f2b6f5222d59ada130e4c729d1104621072999fee8b51b70143269d905f,0de68ac2b60b34bf097bc55bf38aacd0159c2de4ceff2b0406be805519693315
equal_wall_clock_240s,experiment4,A2 + late_risk_destroy + rejection_pool + soft_deadline,2026080500,5,True,True,240.0,233.30998187500518,77,2618.7797162420393,681.2331929104638,238.00129720795667,233.31127908296185,4.690018124994822,1122,True,True,15689,15689,15672,20,0,True,0.2,True,True,1.0,run_solutions/equal_wall_clock_240s__experiment4__seed_2026080500.json,f397dc93016a562bba089542c679d784c2c96ccd202b06bfd933da279a3b08ca,1781c07eed7a79750e30c841f90b3d36cb122ce12dcfb4ebc233f703f6ab0a95
equal_wall_clock_240s,experiment1,A2 + late_risk_destroy,2026080501,1,True,True,240.0,233.30998187500518,66,2264.497455224103,650.1774709144454,238.00095304194838,233.31093491695356,4.690018124994822,1974,True,False,0,0,0,0,0,False,0.2,False,False,1.0,run_solutions/equal_wall_clock_240s__experiment1__seed_2026080501.json,62308ba4de33a5792009436a8738286766267172cfebf01d9b39b3f043f58bd9,42a710622a359c93b5944e7890fe6ea5cd534da1e110ac402c7d913f2078d814
equal_wall_clock_240s,experiment2,A2 + rejection_pool,2026080501,2,True,True,240.0,233.30998187500518,73,2554.1329967359848,679.2458214380507,238.00085308396956,233.31083495897474,4.690018124994822,1840,False,True,25772,25772,25762,20,0,False,0.2,False,False,1.0,run_solutions/equal_wall_clock_240s__experiment2__seed_2026080501.json,8f18b9cdc9fd1345d64d4fe8cab4d9982bdd26174d2908cab6b3275ed1893d73,58ee40fa9729418d6642ac1c54c1dacff4c61bee2569405511ae16f952be45bd
equal_wall_clock_240s,experiment3,A2 + soft_deadline,2026080501,3,True,True,240.0,233.30998187500518,74,2415.627929293077,657.844966919913,238.00119504198665,233.31117691699183,4.690018124994822,1307,False,False,0,0,0,0,0,True,0.2,True,True,1.0,run_solutions/equal_wall_clock_240s__experiment3__seed_2026080501.json,f651fc68330fe5c21064c460d9b3499c80cdece874216e112f7b759cc95380f9,b2ad37b0a7a6fd81463aa24a9379b5cffa86fc2922f4e2941000b3c4bef375ef
equal_wall_clock_240s,experiment4,A2 + late_risk_destroy + rejection_pool + soft_deadline,2026080501,4,True,True,240.0,233.30998187500518,75,2619.534232611814,666.9661871762019,238.0032416670001,233.3132235420053,4.690018124994822,1292,True,True,18012,18012,17995,20,0,True,0.2,True,True,1.0,run_solutions/equal_wall_clock_240s__experiment4__seed_2026080501.json,ff94ec9a61bb104adc27698e86f658c87b2c186c02ee58c4a0c6a4465641b8d7,20b86610964e46784fcca7eb2863c274f52cf4eff02d80ade02f4f2e1fbbbf96
equal_wall_clock_240s,baseline,A2,2026080501,5,True,True,240.0,233.30998187500518,69,2260.4105568719747,633.5901042671111,238.00041895796312,233.3104008329683,4.690018124994822,1780,False,False,0,0,0,0,0,False,0.2,False,False,1.0,run_solutions/equal_wall_clock_240s__baseline__seed_2026080501.json,cfe43cd7896c2d988eba3f6c56aa8f8c3d8d76cdd8f6661876b672b0db20453e,1f02603857c90d9167e5251d27c6020bd82b872074ad52eb5a051bb1fc452bc5
equal_wall_clock_240s,experiment2,A2 + rejection_pool,2026080502,1,True,True,240.0,233.30998187500518,74,2430.0886438253156,664.5688308446945,238.00055491703097,233.31053679203615,4.690018124994822,1806,False,True,25440,25440,25427,20,0,False,0.2,False,False,1.0,run_solutions/equal_wall_clock_240s__experiment2__seed_2026080502.json,7b6836293e6966a302b429b0055ce5a1f8dde0baf4603b020b2a9d9c5e0c93d5,ac2beb13d1977a7c21ec0467fbb7b28e3e3ce040d04ffa1ed117295c1d3b0d70
equal_wall_clock_240s,experiment3,A2 + soft_deadline,2026080502,2,True,True,240.0,233.30998187500518,75,2455.357436293568,654.2152030948384,238.00131508300547,233.31129695801064,4.690018124994822,1268,False,False,0,0,0,0,0,True,0.2,True,True,1.0,run_solutions/equal_wall_clock_240s__experiment3__seed_2026080502.json,082eefd140da4d33c14424d35b287827dabd3a39ad009ad5236d16cca8f48f25,2073377d8dcb4c3e38cd7ad736faa828f4dd058f0ba9d472354240426d7b9f03
