baseline,baseline_distance_km,baseline_late_count,baseline_total_lateness_min,distance_delta_km,late_count_delta,method,method_distance_km,method_late_count,method_total_lateness_min,outcome,scenario,seed,total_lateness_delta_min
baseline,651.6127369580224,70,2424.643135104305,-6.84967271694336,0,experiment1,644.7630642410791,70,2356.014779976059,win,equal_wall_clock_240s,2026080500,-68.62835512824631
baseline,633.5901042671111,69,2260.4105568719747,16.587366647334306,-3,experiment1,650.1774709144454,66,2264.497455224103,win,equal_wall_clock_240s,2026080501,4.086898352128173
baseline,652.0382595087592,70,2300.4269928673802,-9.417197410364224,0,experiment1,642.621062098395,70,2310.327757518637,loss,equal_wall_clock_240s,2026080502,9.90076465125685
baseline,651.6127369580224,70,2424.643135104305,12.041482758463872,5,experiment2,663.6542197164863,75,2525.896550529047,loss,equal_wall_clock_240s,2026080500,101.25341542474189
baseline,633.5901042671111,69,2260.4105568719747,45.655717170939624,4,experiment2,679.2458214380507,73,2554.1329967359848,loss,equal_wall_clock_240s,2026080501,293.7224398640101
baseline,652.0382595087592,70,2300.4269928673802,12.530571335935292,4,experiment2,664.5688308446945,74,2430.0886438253156,loss,equal_wall_clock_240s,2026080502,129.6616509579353
baseline,651.6127369580224,70,2424.643135104305,-2.6290181345510746,4,experiment3,648.9837188234713,74,2366.7748360314536,loss,equal_wall_clock_240s,2026080500,-57.86829907285164
baseline,633.5901042671111,69,2260.4105568719747,24.254862652801876,5,experiment3,657.844966919913,74,2415.627929293077,loss,equal_wall_clock_240s,2026080501,155.21737242110248
baseline,652.0382595087592,70,2300.4269928673802,2.1769435860792328,5,experiment3,654.2152030948384,75,2455.357436293568,loss,equal_wall_clock_240s,2026080502,154.9304434261876
baseline,651.6127369580224,70,2424.643135104305,29.620455952441375,7,experiment4,681.2331929104638,77,2618.7797162420393,loss,equal_wall_clock_240s,2026080500,194.13658113773408
baseline,633.5901042671111,69,2260.4105568719747,33.37608290909077,6,experiment4,666.9661871762019,75,2619.534232611814,loss,equal_wall_clock_240s,2026080501,359.1236757398392
baseline,652.0382595087592,70,2300.4269928673802,37.36822535266981,7,experiment4,689.406484861429,77,2719.8723700608325,loss,equal_wall_clock_240s,2026080502,419.44537719345226
